更新时间,#genre#
2024-12-06 19:02:38,url
📺央视频道,#genre#
CCTV-1,http://222.169.41.47:9901/tsfile/live/0001_1.m3u8$订阅源
CCTV-1,http://1.192.75.145:9901/tsfile/live/1037_1.m3u8$订阅源
CCTV-1,http://112.123.206.32:808/hls/1/index.m3u8$订阅源
CCTV-1,http://117.27.190.42:9998/tsfile/live/23232_1.m3u8$订阅源
CCTV-1,http://114.243.102.150:8888/udp/239.3.1.129:8008$订阅源|1920x1080
CCTV-1,http://223.166.234.149:7777/tsfile/live/0001_1.m3u8$订阅源
CCTV-1,http://221.224.4.170:1111/tsfile/live/0001_1.m3u8$订阅源
CCTV-1,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cctv1$订阅源
CCTV-1,http://115.48.62.130:9901/tsfile/live/0001_1.m3u8$订阅源
CCTV-1,http://110.52.244.53:9003//hls/1/index.m3u8$订阅源
CCTV-1,http://60.164.128.167:8029/rtp/239.255.30.101:8231$组播源|1920x1080
CCTV-1,http://123.113.189.90:8001/rtp/239.3.1.129:8008$组播源|1920x1080
CCTV-1,http://123.112.19.67:8012/rtp/239.3.1.129:8008$组播源
CCTV-1,http://123.56.129.203:7637/rtp/225.1.8.1:8008$组播源
CCTV-1,http://123.56.129.203:7637/rtp/225.1.8.101:8080$组播源
CCTV-1,http://122.9.151.210:6209/rtp/238.255.2.91:5999$组播源
CCTV-1,http://122.9.151.210:8088/rtp/238.255.2.91:5999$组播源
CCTV-1,http://122.9.151.210:2669/rtp/238.255.2.91:5999$组播源
CCTV-2,http://58.221.214.82:9901/tsfile/live/0002_1.m3u8$订阅源
CCTV-2,http://60.187.73.178:9901/tsfile/live/0002_1.m3u8$订阅源|1920x1080
CCTV-2,https://api.livednow.org/migu/631780532?sign=gAAAAABnJcJqr0fwyjCRZenumPiYq29AgCGZbexK2XyM9exSQfwePDL4rwLxMaYmUy5BI5tmZ3p5Opg3XGESQyj1Myyx8xlfa--CzghtRa5MzC5lgOOROQFokKNIjS1xgPhehkOToP6coFx9T1FJaYtv8R7vSMPYGiBtsqx-CdWfMNReSPjRaDJSSrjZ0WKCW5GajQiFiD1fOBTLjS-S7V-uzyIxCqKWiQ%3D%3D$订阅源|1920x1080
CCTV-2,http://114.243.102.150:8888/udp/239.3.1.60:8084$订阅源|1920x1080
CCTV-2,https://fmbox.cc/公众号玉玉软件库/tv/yc.php?id=cctv2-1$订阅源
CCTV-2,http://61.136.67.238:50085/tsfile/live/0002_1.m3u8$订阅源
CCTV-2,http://58.53.152.61:9901/tsfile/live/0002_1.m3u8$订阅源|1920x1080
CCTV-2,http://153.0.169.34:9901/tsfile/live/1001_1.m3u8$订阅源|1920x1080
CCTV-2,http://218.3.138.25:1111/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-2,http://124.116.118.38:9901/tsfile/live/0002_1.m3u8$订阅源
CCTV-2,http://123.113.189.90:8001/rtp/239.3.1.60:8084$组播源|1920x1080
CCTV-2,http://60.164.128.167:8029/rtp/239.255.30.179:8231$组播源|1920x1080
CCTV-2,http://123.112.19.67:8012/rtp/239.3.1.60:8084$组播源
CCTV-2,http://122.9.151.210:6209/rtp/238.255.2.11:5999$组播源
CCTV-2,http://123.56.129.203:7637/rtp/225.1.8.102:8004$组播源
CCTV-2,http://123.56.129.203:7637/rtp/225.1.8.2:8084$组播源
CCTV-2,http://122.9.151.210:2669/rtp/238.255.2.11:5999$组播源
CCTV-2,http://122.9.151.210:8088/rtp/238.255.2.11:5999$组播源
CCTV-3,http://123.52.110.15:9901/tsfile/live/0003_1.m3u8$订阅源
CCTV-3,http://121.19.134.222:808/tsfile/live/0003_1.m3u8$订阅源
CCTV-3,http://61.145.208.59:9090/udp/239.77.0.169:5146$订阅源|1920x1080
CCTV-3,http://123.113.187.204:8000/udp/239.3.1.172:8001$订阅源|1920x1080
CCTV-3,http://106.118.70.14:9901/tsfile/live/0003_1.m3u8$订阅源
CCTV-3,http://171.117.19.35:9901/tsfile/live/0003_1.m3u8$订阅源
CCTV-3,http://112.46.85.60:8009/hls/3/index.m3u8$订阅源
CCTV-3,http://175.173.198.22:9009/udp/232.0.0.170:1234$订阅源|1920x1080
CCTV-3,http://114.254.85.102:8888/udp/239.3.1.172:8001$订阅源|1920x1080
CCTV-3,http://115.48.60.205:9901/tsfile/live/0003_1.m3u8$订阅源
CCTV-3,http://123.112.19.67:8012/rtp/239.3.1.172:8001$组播源
CCTV-3,http://123.113.189.90:8001/rtp/239.3.1.172:8001$组播源|1920x1080
CCTV-3,http://60.164.128.167:8029/rtp/239.255.29.12:8231$组播源|1920x1080
CCTV-3,http://123.56.129.203:7637/rtp/225.1.8.88:8000$组播源
CCTV-3,http://122.9.151.210:6209/rtp/238.255.2.133:5999$组播源
CCTV-3,http://122.9.151.210:8088/rtp/238.255.2.133:5999$组播源
CCTV-3,http://122.9.151.210:2669/rtp/238.255.2.133:5999$组播源
CCTV-3,http://123.56.129.203:7637/rtp/225.1.8.92:8000$组播源
CCTV-4,http://122.139.141.107:9901/tsfile/live/0004_1.m3u8$订阅源
CCTV-4,http://zisong2014.oicp.net:4022/udp/225.1.1.150:5002$订阅源
CCTV-4,http://222.134.245.16:9901/tsfile/live/0004_1.m3u8$订阅源
CCTV-4,http://1.198.10.73:9901/tsfile/live/1000_1.m3u8$订阅源
CCTV-4,http://60.255.240.247:8090/live/CCTV-4H265.m3u8$订阅源
CCTV-4,http://112.234.23.155:9901/tsfile/live/0004_1.m3u8$订阅源
CCTV-4,http://39.98.201.151:9090/udp/225.1.8.4:8092$订阅源
CCTV-4,http://223.166.234.149:7777/tsfile/live/0004_1.m3u8$订阅源
CCTV-4,http://220.249.114.102:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-4,http://123.52.110.169:9901/tsfile/live/0004_1.m3u8$订阅源|1920x1080
CCTV-4,http://123.112.19.67:8012/rtp/239.3.1.105:8092$组播源
CCTV-4,http://123.112.19.67:8012/rtp/239.3.1.214:4220$组播源
CCTV-4,http://60.164.128.167:8029/rtp/239.255.30.83:8231$组播源|1920x1080
CCTV-4,http://123.112.19.67:8012/rtp/239.3.1.213:4220$组播源
CCTV-4,http://123.113.189.90:8001/rtp/239.3.1.105:8092$组播源|1920x1080
CCTV-4,http://122.9.151.210:8088/rtp/238.255.2.92:5999$组播源
CCTV-5,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cctv5$订阅源
CCTV-5,http://1.192.75.145:9901/tsfile/live/1041_1.m3u8$订阅源
CCTV-5,http://223.166.234.149:7777/tsfile/live/0005_1.m3u8$订阅源
CCTV-5,http://119.36.148.115:59901/tsfile/live/1001_1.m3u8$订阅源
CCTV-5,http://wouu.net:9977/udp/239.93.1.36:8004$订阅源
CCTV-5,https://api.livednow.org/migu/641886683?sign=gAAAAABnJcJq1zvWEm2fLwSljJPThpBYL_E8K7V3Vjqwa1MKKvqUi_E3bRWybwa_x3oX2iF9HH-wEJfMaE_5OvwPzGGu3NicPIuQA4yciDbKNZf7joK5ZUFzK0L36mvXUWWl9JorCKCXbQ62LAhIlbf2kzScSCcb9oUHPKWds9wWjWjam34gaFfwW7rHxvnvlcqRaj88yHfSrWqHJghFI-bLaFvNz1HoPw%3D%3D$订阅源|1920x1080
CCTV-5,http://223.12.13.231:8082/udp/239.1.1.11:8011$订阅源
CCTV-5,http://113.57.109.48:1111/tsfile/live/1004_1.m3u8$订阅源
CCTV-5,http://27.41.246.255:9003//hls/8/index.m3u8$订阅源|1920x1080
CCTV-5,http://123.52.110.15:9901/tsfile/live/0005_1.m3u8$订阅源
CCTV-5,http://123.113.189.90:8001/rtp/239.3.1.173:8001$组播源|1920x1080
CCTV-5,http://xeace.cn:8888/rtp/239.93.42.37:5140$组播源|1920x1080
CCTV-5,http://123.112.19.67:8012/rtp/239.3.1.173:8001$组播源
CCTV-5,http://60.164.128.167:8029/rtp/239.255.29.13:8231$组播源|1920x1080
CCTV-5,http://122.9.151.210:6209/rtp/238.255.2.134:5999$组播源
CCTV-5,http://123.56.129.203:7637/rtp/225.1.8.89:8000$组播源
CCTV-5,http://139.196.151.191:3839/rtp/239.45.1.69:5140$组播源
CCTV-5+,http://221.2.148.205:8154/tsfile/live/0016_1.m3u8$订阅源
CCTV-5+,http://123.132.233.194:352/tsfile/live/0016_1.m3u8$订阅源
CCTV-5+,http://175.173.198.22:9009/udp/232.0.0.93:1234$订阅源|1920x1080
CCTV-5+,http://124.230.56.119:55555/udp/239.76.253.168:9000$订阅源|1920x1080
CCTV-5+,http://125.82.171.210:8888/udp/235.254.199.121:7980$订阅源|1920x1080
