更新时间,#genre#
2025-02-05 18:58:33,url
📺央视频道,#genre#
CCTV-1,https://api.olelive.com/dis/live/CCTV1HD/hls.m3u8$订阅源|1920x1080
CCTV-1,http://101.66.198.66:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-1,http://113.57.93.165:9900/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-1,http://113.220.234.47:9999/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-1,http://101.66.198.79:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-1,http://221.2.148.205:8154/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-1,http://124.128.73.58:9901/tsfile/live/0001_1.m3u8?key=txiptv$订阅源
CCTV-1,http://101.66.199.106:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-1,http://58.220.219.14:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-1,http://123.56.129.203:7637/rtp/225.1.8.1:8008$组播源
CCTV-1,http://123.56.129.203:7637/rtp/225.1.8.101:8080$组播源
CCTV-1,http://123.56.129.203:5431/rtp/225.1.8.101:8080$组播源
CCTV-1,http://123.56.129.203:5431/rtp/225.1.8.1:8008$组播源
CCTV-2,http://221.2.148.205:8154/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-2,http://113.220.234.47:9999/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-2,http://218.3.138.25:1111/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-2,http://113.57.93.165:9900/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-2,http://121.19.134.222:808/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-2,https://api.olelive.com/dis/live/CCTV2HD/hls.m3u8$订阅源|1920x1080
CCTV-2,http://124.128.73.58:9901/tsfile/live/0002_1.m3u8?key=txiptv$订阅源
CCTV-2,http://101.66.198.79:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
